key	ru	de	es	fr	fi
Models run a short silent test. Microphone access is not needed yet.	Модели пройдут короткий тест на тишине. Доступ к микрофону пока не нужен.	Die Modelle testen kurz mit Stille. Mikrofonzugriff ist noch nicht nötig.	Los modelos realizan una breve prueba con silencio. Aún no se necesita acceso al micrófono.	Les modèles effectuent un bref test avec du silence. Le microphone n’est pas encore nécessaire.	Mallit testataan lyhyellä hiljaisella näytteellä. Mikrofonia ei vielä tarvita.
Model preparation failed	Не удалось подготовить модели	Modellvorbereitung fehlgeschlagen	No se pudieron preparar los modelos	Échec de la préparation des modèles	Mallien valmistelu epäonnistui
Murmator mascot	Маскот Murmator	Murmator-Maskottchen	Mascota de Murmator	Mascotte Murmator	Murmatorin maskotti
Step %lld of 4	Шаг %lld из 4	Schritt %lld von 4	Paso %lld de 4	Étape %lld sur 4	Vaihe %lld/4
Notes	Заметки	Notizen	Notas	Notes	Muistiinpanot
Note	Заметка	Notiz	Nota	Note	Muistiinpano
NOTE	ЗАМЕТКА	NOTIZ	NOTA	NOTE	MUISTIINPANO
Search transcripts	Поиск по заметкам	Notizen durchsuchen	Buscar transcripciones	Rechercher dans les notes	Hae muistiinpanoista
A little thought.\nA note worth keeping.	Мимолётная мысль.\nЗаметка на память.	Ein kleiner Gedanke.\nEine Notiz zum Behalten.	Una pequeña idea.\nUna nota para guardar.	Une petite idée.\nUne note à garder.	Pieni ajatus.\nMuistiinpano talteen.
Speak naturally. Murmator turns your voice into text, right on this iPhone.	Говори как обычно. Murmator превращает речь в текст прямо на этом iPhone.	Sprich natürlich. Murmator wandelt deine Stimme direkt auf diesem iPhone in Text um.	Habla con naturalidad. Murmator convierte tu voz en texto en este iPhone.	Parlez naturellement. Murmator transforme votre voix en texte sur cet iPhone.	Puhu luonnollisesti. Murmator muuntaa puheesi tekstiksi tällä iPhonella.
Tap to talk · or use the Action Button	Нажми и говори · или используй кнопку действия	Tippen und sprechen · oder Aktionstaste nutzen	Toca para hablar · o usa el botón de acción	Touchez pour parler · ou utilisez le bouton Action	Napauta ja puhu · tai käytä toimintopainiketta
Record a note	Записать заметку	Notiz aufnehmen	Grabar una nota	Enregistrer une note	Tallenna muistiinpano
Translate	Перевод	Übersetzen	Traducir	Traduire	Käännä
Keyboard	Клавиатура	Tastatur	Teclado	Clavier	Näppäimistö
Settings	Настройки	Einstellungen	Ajustes	Réglages	Asetukset
Cancel	Отмена	Abbrechen	Cancelar	Annuler	Peruuta
Done	Готово	Fertig	Listo	Terminé	Valmis
OK	ОК	OK	Aceptar	OK	OK
Listening	Слушаю	Ich höre zu	Escuchando	À l’écoute	Kuuntelen
Listening…	Слушаю…	Ich höre zu…	Escuchando…	À l’écoute…	Kuuntelen…
Refining	Уточнение	Überarbeiten	Afinando	Amélioration	Tarkennetaan
Getting ready	Подготовка	Vorbereiten	Preparando	Préparation	Valmistellaan
Cancel recording	Отменить запись	Aufnahme abbrechen	Cancelar grabación	Annuler l’enregistrement	Peruuta tallennus
What's on your mind?	О чём думаешь?	Was geht dir durch den Kopf?	¿Qué tienes en mente?	À quoi pensez-vous ?	Mitä mietit?
A moment for your words.	Минутку для твоих слов.	Einen Moment für deine Worte.	Un momento para tus palabras.	Un instant pour vos mots.	Hetki sanoillesi.
Stop & save	Остановить и сохранить	Stoppen und speichern	Detener y guardar	Arrêter et enregistrer	Pysäytä ja tallenna
Stop & translate	Остановить и перевести	Stoppen und übersetzen	Detener y traducir	Arrêter et traduire	Pysäytä ja käännä
You said · %@	Твоя речь · %@	Gesprochen · %@	Dijiste · %@	Vos paroles · %@	Puheesi · %@
Audio stayed on this iPhone. Only the text is saved.	Аудио осталось на этом iPhone. Сохраняется только текст.	Das Audio blieb auf diesem iPhone. Nur der Text wird gespeichert.	El audio quedó en este iPhone. Solo se guarda el texto.	L’audio est resté sur cet iPhone. Seul le texte est enregistré.	Ääni pysyi tällä iPhonella. Vain teksti tallennetaan.
Edit	Изменить	Bearbeiten	Editar	Modifier	Muokkaa
Edit note	Изменить заметку	Notiz bearbeiten	Editar nota	Modifier la note	Muokkaa muistiinpanoa
Delete	Удалить	Löschen	Eliminar	Supprimer	Poista
Delete note	Удалить заметку	Notiz löschen	Eliminar nota	Supprimer la note	Poista muistiinpano
Delete this note?	Удалить эту заметку?	Diese Notiz löschen?	¿Eliminar esta nota?	Supprimer cette note ?	Poistetaanko tämä muistiinpano?
Note actions	Действия с заметкой	Notizaktionen	Acciones de la nota	Actions de la note	Muistiinpanon toiminnot
Save	Сохранить	Speichern	Guardar	Enregistrer	Tallenna
Send to Apple Notes	В Заметки Apple	An Apple Notizen senden	Enviar a Notas de Apple	Envoyer vers Notes d’Apple	Lähetä Applen Muistiinpanoihin
Copy	Копировать	Kopieren	Copiar	Copier	Kopioi
Copied	Скопировано	Kopiert	Copiado	Copié	Kopioitu
Share	Поделиться	Teilen	Compartir	Partager	Jaa
Translate to	Перевести на	Übersetzen in	Traducir a	Traduire en	Käännä kielelle
While you speak	Пока ты говоришь	Während du sprichst	Mientras hablas	Pendant que vous parlez	Puhuessasi
A quick preview follows your voice. OPUS then refines completed phrases and the final text before the note is saved.	Черновой перевод появляется вслед за речью. OPUS уточняет завершённые фразы и итоговый текст перед сохранением.	Eine schnelle Vorschau folgt deiner Stimme. OPUS verbessert abgeschlossene Sätze und den endgültigen Text vor dem Speichern.	Una vista previa sigue tu voz. OPUS mejora las frases completas y el texto final antes de guardar la nota.	Un aperçu suit votre voix. OPUS affine les phrases terminées et le texte final avant l’enregistrement.	Nopea käännösluonnos seuraa puhettasi. OPUS tarkentaa valmiit lauseet ja lopullisen tekstin ennen tallennusta.
Download the selected language models once to translate offline.	Скачай модели выбранных языков один раз для перевода без интернета.	Lade die gewählten Sprachmodelle einmal für Offline-Übersetzungen.	Descarga una vez los modelos de los idiomas elegidos para traducir sin conexión.	Téléchargez une fois les modèles choisis pour traduire hors ligne.	Lataa valittujen kielten mallit kerran, niin voit kääntää ilman verkkoyhteyttä.
Translation is not available for this language yet. You can still record a note.	Перевод для этого языка пока недоступен. Записать заметку можно.	Für diese Sprache ist noch keine Übersetzung verfügbar. Du kannst trotzdem eine Notiz aufnehmen.	La traducción aún no está disponible para este idioma. Puedes grabar una nota.	La traduction n’est pas encore disponible pour cette langue. Vous pouvez enregistrer une note.	Tälle kielelle ei ole vielä käännöstä. Voit silti tallentaa muistiinpanon.
Speak & translate	Говорить и переводить	Sprechen und übersetzen	Hablar y traducir	Parler et traduire	Puhu ja käännä
Speech	Распознавание речи	Spracherkennung	Reconocimiento de voz	Reconnaissance vocale	Puheentunnistus
Spoken language	Язык речи	Gesprochene Sprache	Idioma hablado	Langue parlée	Puhekieli
Mode	Режим	Modus	Modo	Mode	Tila
Fast	Быстрый	Schnell	Rápido	Rapide	Nopea
Hybrid	Двойной	Hybrid	Híbrido	Hybride	Hybridi
Accurate	Точный	Genau	Preciso	Précis	Tarkka
Hybrid shows a live draft and corrects it on a separate backend.	Двойной режим показывает черновик и параллельно уточняет его отдельным движком.	Der Hybridmodus zeigt einen Live-Entwurf und korrigiert ihn mit einer separaten Engine.	El modo híbrido muestra un borrador en directo y lo corrige con otro motor.	Le mode hybride affiche un brouillon en direct et le corrige avec un moteur distinct.	Hybriditila näyttää luonnoksen reaaliajassa ja korjaa sitä erillisellä moottorilla.
Models	Модели	Modelle	Modelos	Modèles	Mallit
Speech model	Модель распознавания	Sprachmodell	Modelo de voz	Modèle vocal	Puhemalli
Ready on this device	Готово на устройстве	Auf diesem Gerät bereit	Listo en este dispositivo	Prêt sur cet appareil	Valmis tällä laitteella
Preparation needed	Нужна подготовка	Vorbereitung nötig	Necesita preparación	Préparation nécessaire	Valmistelu tarvitaan
Download & prepare	Скачать и подготовить	Laden und vorbereiten	Descargar y preparar	Télécharger et préparer	Lataa ja valmistele
Import model folder	Импортировать папку моделей	Modellordner importieren	Importar carpeta de modelos	Importer un dossier de modèles	Tuo mallikansio
Advanced Core ML models can be imported as a CoreMLModels folder. Your speech never leaves the device.	Дополнительные модели Core ML можно импортировать папкой CoreMLModels. Речь не покидает устройство.	Weitere Core-ML-Modelle lassen sich als Ordner CoreMLModels importieren. Deine Sprache verlässt das Gerät nicht.	Puedes importar modelos Core ML adicionales como carpeta CoreMLModels. Tu voz no sale del dispositivo.	Les modèles Core ML supplémentaires s’importent via un dossier CoreMLModels. Votre voix reste sur l’appareil.	Muita Core ML -malleja voi tuoda CoreMLModels-kansiona. Puheesi pysyy laitteella.
Appearance	Оформление	Darstellung	Apariencia	Apparence	Ulkoasu
Theme	Тема	Design	Tema	Thème	Teema
System	Системная	System	Sistema	Système	Järjestelmä
Light	Светлая	Hell	Claro	Clair	Vaalea
Dark	Тёмная	Dunkel	Oscuro	Sombre	Tumma
Ways to start	Как начать запись	Aufnahme starten	Formas de empezar	Façons de commencer	Aloitustavat
Action Button	Кнопка действия	Aktionstaste	Botón de acción	Bouton Action	Toimintopainike
Assign “Record a Murmator note” in Action Button or Shortcuts settings.	Выбери «Записать заметку Murmator» в настройках кнопки действия или Команд.	Wähle „Murmator-Notiz aufnehmen“ in den Einstellungen der Aktionstaste oder in Kurzbefehle.	Asigna «Grabar una nota de Murmator» en los ajustes del botón de acción o de Atajos.	Choisissez « Enregistrer une note Murmator » dans les réglages du bouton Action ou dans Raccourcis.	Valitse ”Tallenna Murmator-muistiinpano” toimintopainikkeen asetuksista tai Pikakomennoista.
Murmator keyboard	Клавиатура Murmator	Murmator-Tastatur	Teclado de Murmator	Clavier Murmator	Murmator-näppäimistö
Lock Screen widget	Виджет экрана блокировки	Sperrbildschirm-Widget	Widget de pantalla bloqueada	Widget d’écran verrouillé	Lukitun näytön widget
Add the Murmator widget to your Lock Screen. It opens the app for recording.	Добавь виджет Murmator на экран блокировки. Он открывает приложение для записи.	Füge das Murmator-Widget zum Sperrbildschirm hinzu. Es öffnet die App zur Aufnahme.	Añade el widget de Murmator a la pantalla bloqueada. Abre la app para grabar.	Ajoutez le widget Murmator à l’écran verrouillé. Il ouvre l’app pour enregistrer.	Lisää Murmator-widget lukitulle näytölle. Se avaa sovelluksen tallennusta varten.
Saving	Сохранение	Speichern	Guardado	Enregistrement	Tallennus
Notes stay on this iPhone	Заметки остаются на этом iPhone	Notizen bleiben auf diesem iPhone	Las notas quedan en este iPhone	Les notes restent sur cet iPhone	Muistiinpanot pysyvät tällä iPhonella
Share a note to Apple Notes or another app using the system share sheet. Murmator does not send notes automatically.	Отправляй заметки в Заметки Apple или другие приложения через меню «Поделиться». Murmator не отправляет их автоматически.	Teile Notizen über das Systemmenü mit Apple Notizen oder anderen Apps. Murmator versendet sie nicht automatisch.	Comparte notas con Notas de Apple u otra app desde el menú del sistema. Murmator no las envía automáticamente.	Partagez vos notes vers Notes d’Apple ou une autre app via le menu système. Murmator ne les envoie pas automatiquement.	Jaa muistiinpano Applen Muistiinpanoihin tai muuhun sovellukseen järjestelmän jakovalikosta. Murmator ei lähetä niitä automaattisesti.
Murmator · 1.0\nOn-device voice to text	Murmator · 1.0\nРаспознавание речи на устройстве	Murmator · 1.0\nSpracherkennung auf dem Gerät	Murmator · 1.0\nVoz a texto en el dispositivo	Murmator · 1.0\nTranscription sur l’appareil	Murmator · 1.0\nPuhe tekstiksi laitteella
Your words, in any app.	Твои слова в любом приложении.	Deine Worte in jeder App.	Tus palabras en cualquier app.	Vos mots dans toutes les apps.	Sanasi missä tahansa sovelluksessa.
Record in Murmator, then use the Murmator keyboard to insert your latest saved text.	Запиши речь в Murmator, затем вставь последний сохранённый текст с клавиатуры Murmator.	Nimm in Murmator auf und füge den zuletzt gespeicherten Text mit der Murmator-Tastatur ein.	Graba en Murmator y usa su teclado para insertar el último texto guardado.	Enregistrez dans Murmator, puis insérez le dernier texte avec le clavier Murmator.	Tallenna Murmatorissa ja lisää viimeisin teksti Murmator-näppäimistöllä.
1. Open Settings → General → Keyboard.\n\n2. Add Murmator under Keyboards.\n\n3. Switch with the globe key and tap Insert.	1. Открой Настройки → Основные → Клавиатура.\n\n2. Добавь Murmator в список клавиатур.\n\n3. Переключись кнопкой глобуса и нажми «Вставить».	1. Öffne Einstellungen → Allgemein → Tastatur.\n\n2. Füge Murmator unter Tastaturen hinzu.\n\n3. Wechsle mit der Globustaste und tippe auf Einfügen.	1. Abre Ajustes → General → Teclado.\n\n2. Añade Murmator en Teclados.\n\n3. Cambia con la tecla del globo y toca Insertar.	1. Ouvrez Réglages → Général → Clavier.\n\n2. Ajoutez Murmator dans Claviers.\n\n3. Utilisez la touche globe et touchez Insérer.	1. Avaa Asetukset → Yleiset → Näppäimistö.\n\n2. Lisää Murmator näppäimistöihin.\n\n3. Vaihda maapallopainikkeella ja napauta Lisää.
The keyboard does not record audio or send text over the network.	Клавиатура не записывает звук и не отправляет текст по сети.	Die Tastatur nimmt kein Audio auf und sendet keinen Text über das Netzwerk.	El teclado no graba audio ni envía texto por la red.	Le clavier n’enregistre pas d’audio et n’envoie pas de texte sur le réseau.	Näppäimistö ei tallenna ääntä eikä lähetä tekstiä verkkoon.
Insert latest note	Вставить последнюю заметку	Letzte Notiz einfügen	Insertar última nota	Insérer la dernière note	Lisää viimeisin muistiinpano
Next keyboard	Следующая клавиатура	Nächste Tastatur	Siguiente teclado	Clavier suivant	Seuraava näppäimistö
Refresh note	Обновить заметку	Notiz aktualisieren	Actualizar nota	Actualiser la note	Päivitä muistiinpano
Delete character	Удалить символ	Zeichen löschen	Eliminar carácter	Supprimer un caractère	Poista merkki
Return	Перевод строки	Zeilenumbruch	Retorno	Retour à la ligne	Rivinvaihto
Record a note in Murmator, then return here to insert it.	Запиши заметку в Murmator и вернись сюда, чтобы вставить её.	Nimm eine Notiz in Murmator auf und kehre zum Einfügen hierher zurück.	Graba una nota en Murmator y vuelve aquí para insertarla.	Enregistrez une note dans Murmator, puis revenez ici pour l’insérer.	Tallenna muistiinpano Murmatorissa ja palaa tähän lisäämään se.
Choose a model that supports the selected language.	Выбери модель с поддержкой выбранного языка.	Wähle ein Modell, das diese Sprache unterstützt.	Elige un modelo compatible con el idioma seleccionado.	Choisissez un modèle prenant en charge cette langue.	Valitse malli, joka tukee valittua kieltä.
Preparing speech models…	Подготовка моделей распознавания…	Sprachmodelle werden vorbereitet…	Preparando modelos de voz…	Préparation des modèles vocaux…	Valmistellaan puhemalleja…
Preparing translation models…	Подготовка моделей перевода…	Übersetzungsmodelle werden vorbereitet…	Preparando modelos de traducción…	Préparation des modèles de traduction…	Valmistellaan käännösmalleja…
Microphone access	Доступ к микрофону	Mikrofonzugriff	Acceso al micrófono	Accès au microphone	Mikrofonin käyttö
Allow microphone access in Settings to record a note.	Разреши доступ к микрофону в Настройках, чтобы записать заметку.	Erlaube den Mikrofonzugriff in den Einstellungen, um eine Notiz aufzunehmen.	Permite el acceso al micrófono en Ajustes para grabar una nota.	Autorisez le microphone dans Réglages pour enregistrer une note.	Salli mikrofonin käyttö Asetuksissa, jotta voit tallentaa muistiinpanon.
Draft first, refined a beat later	Сначала черновик, затем уточнение	Erst Entwurf, kurz darauf Korrektur	Primero un borrador, después los ajustes	Un brouillon, puis les corrections	Ensin luonnos, sitten tarkennus
Listening on this iPhone	Распознавание на этом iPhone	Erkennung auf diesem iPhone	Escuchando en este iPhone	À l’écoute sur cet iPhone	Kuuntelen tällä iPhonella
Refining your note…	Уточняю заметку…	Notiz wird überarbeitet…	Afinando tu nota…	Amélioration de votre note…	Tarkennetaan muistiinpanoa…
Recording stopped. The captured text was kept.	Запись остановлена. Распознанный текст сохранён.	Aufnahme beendet. Der erkannte Text wurde behalten.	La grabación se detuvo. El texto reconocido se conservó.	L’enregistrement est arrêté. Le texte reconnu a été conservé.	Tallennus pysäytettiin. Tunnistettu teksti säilytettiin.
Models imported	Модели импортированы	Modelle importiert	Modelos importados	Modèles importés	Mallit tuotu
Could not save recovery text: %@	Не удалось сохранить черновик: %@	Wiederherstellungstext konnte nicht gespeichert werden: %@	No se pudo guardar el texto de recuperación: %@	Impossible d’enregistrer le texte de récupération : %@	Palautustekstiä ei voitu tallentaa: %@
The original text is saved. Translation: %@	Исходный текст сохранён. Ошибка перевода: %@	Der Originaltext ist gespeichert. Übersetzung: %@	El texto original está guardado. Traducción: %@	Le texte original est enregistré. Traduction : %@	Alkuperäinen teksti tallennettiin. Käännös: %@
Record a Murmator note	Записать заметку Murmator	Murmator-Notiz aufnehmen	Grabar una nota de Murmator	Enregistrer une note Murmator	Tallenna Murmator-muistiinpano
Open Murmator and start on-device dictation.	Открыть Murmator и начать распознавание на устройстве.	Murmator öffnen und Diktat auf dem Gerät starten.	Abrir Murmator e iniciar el dictado en el dispositivo.	Ouvrir Murmator et dicter sur l’appareil.	Avaa Murmator ja aloita sanelu laitteella.
Record with Murmator	Запись в Murmator	Mit Murmator aufnehmen	Grabar con Murmator	Enregistrer avec Murmator	Tallenna Murmatorilla
Open Murmator to capture a thought on your iPhone.	Открой Murmator, чтобы записать мысль на iPhone.	Öffne Murmator, um einen Gedanken auf deinem iPhone festzuhalten.	Abre Murmator para guardar una idea en tu iPhone.	Ouvrez Murmator pour noter une idée sur votre iPhone.	Avaa Murmator ja tallenna ajatuksesi iPhonella.
Murmator transcribes your voice on this device.	Murmator распознаёт твою речь на этом устройстве.	Murmator erkennt deine Sprache auf diesem Gerät.	Murmator transcribe tu voz en este dispositivo.	Murmator transcrit votre voix sur cet appareil.	Murmator muuntaa puheesi tekstiksi tällä laitteella.
Set up models again	Повторить настройку моделей	Modelle erneut einrichten	Configurar modelos de nuevo	Configurer les modèles à nouveau	Määritä mallit uudelleen
Say it once	Просто скажи	Sag es einmal	Dilo una vez	Dites-le simplement	Sano se kerran
Let Murmator hear you	Разреши Murmator услышать тебя	Lass Murmator dich hören	Deja que Murmator te escuche	Laissez Murmator vous entendre	Anna Murmatorin kuulla sinut
Add your languages	Добавь свои языки	Füge deine Sprachen hinzu	Añade tus idiomas	Ajoutez vos langues	Lisää kielesi
Warming up the models	Прогрев моделей	Modelle aufwärmen	Preparar los modelos	Préchauffage des modèles	Mallien lämmitys
Talk in any app	Твои слова в любом приложении	Deine Worte in jeder App	Tus palabras en cualquier app	Vos mots dans toutes les apps	Sanasi missä tahansa sovelluksessa
Choose languages for dictation and optional translation. Download them now or add them later in Settings.	Выбери языки для диктовки и перевода. Скачай их сейчас или добавь позже в настройках.	Wähle Sprachen für Diktat und optionale Übersetzung. Lade sie jetzt oder später in den Einstellungen.	Elige idiomas para dictar y traducir. Descárgalos ahora o añádelos después en Ajustes.	Choisissez les langues de dictée et de traduction. Téléchargez-les maintenant ou ajoutez-les plus tard dans Réglages.	Valitse sanelun ja kääntämisen kielet. Lataa ne nyt tai lisää myöhemmin Asetuksissa.
A short silent test prepares the models for use. You can continue or skip setup while preparation runs.	Короткий тест на тишине подготовит модели к работе. Пока идёт подготовка, можно продолжить или пропустить настройку.	Ein kurzer Test mit Stille bereitet die Modelle vor. Du kannst währenddessen fortfahren oder die Einrichtung überspringen.	Una breve prueba con silencio prepara los modelos. Puedes continuar u omitir la configuración mientras tanto.	Un bref test silencieux prépare les modèles. Vous pouvez continuer ou passer la configuration pendant ce temps.	Lyhyt hiljainen testi valmistelee mallit. Voit jatkaa tai ohittaa käyttöönoton valmistelun aikana.
Microphone allowed	Микрофон разрешён	Mikrofon erlaubt	Micrófono permitido	Microphone autorisé	Mikrofoni sallittu
Allow microphone	Разрешить микрофон	Mikrofon erlauben	Permitir micrófono	Autoriser le microphone	Salli mikrofoni
Optional now. Murmator will ask when you start your first recording.	Сейчас это необязательно. Murmator запросит доступ при первой записи.	Jetzt optional. Murmator fragt bei deiner ersten Aufnahme danach.	Es opcional ahora. Murmator lo pedirá al iniciar tu primera grabación.	Facultatif pour le moment. Murmator le demandera au premier enregistrement.	Tämä on nyt valinnaista. Murmator pyytää lupaa ensimmäisen tallennuksen alussa.
Choose languages	Выбрать языки	Sprachen wählen	Elegir idiomas	Choisir les langues	Valitse kielet
1. Open Settings → General → Keyboard.	1. Открой Настройки → Основные → Клавиатура.	1. Öffne Einstellungen → Allgemein → Tastatur.	1. Abre Ajustes → General → Teclado.	1. Ouvrez Réglages → Général → Clavier.	1. Avaa Asetukset → Yleiset → Näppäimistö.
2. Add the Murmator keyboard.	2. Добавь клавиатуру Murmator.	2. Füge die Murmator-Tastatur hinzu.	2. Añade el teclado de Murmator.	2. Ajoutez le clavier Murmator.	2. Lisää Murmator-näppäimistö.
3. Record in Murmator, then switch keyboards to insert your text.	3. Запиши речь в Murmator, затем переключи клавиатуру и вставь текст.	3. Nimm in Murmator auf, wechsle die Tastatur und füge deinen Text ein.	3. Graba en Murmator, cambia de teclado e inserta el texto.	3. Enregistrez dans Murmator, puis changez de clavier pour insérer le texte.	3. Tallenna Murmatorissa, vaihda näppäimistöä ja lisää teksti.
Keyboard setup	Настройка клавиатуры	Tastatur einrichten	Configurar teclado	Configurer le clavier	Näppäimistön asetukset
Step %lld of 5	Шаг %lld из 5	Schritt %lld von 5	Paso %lld de 5	Étape %lld sur 5	Vaihe %lld/5
Finish setup	Завершить настройку	Einrichtung abschließen	Finalizar configuración	Terminer la configuration	Viimeistele käyttöönotto
Skip setup	Пропустить настройку	Einrichtung überspringen	Omitir configuración	Passer la configuration	Ohita käyttöönotto
Languages & offline	Языки и офлайн	Sprachen und Offline	Idiomas y modo sin conexión	Langues et mode hors ligne	Kielet ja offline-käyttö
Offline after download	Офлайн после скачивания	Nach dem Download offline	Sin conexión tras descargar	Hors ligne après téléchargement	Offline latauksen jälkeen
After downloading, the selected languages work without internet. Audio stays on your iPhone. You can skip this and download later.	После скачивания выбранные языки работают без интернета. Аудио остаётся на iPhone. Можно пропустить этот шаг и скачать позже.	Nach dem Download funktionieren die gewählten Sprachen ohne Internet. Audio bleibt auf deinem iPhone. Du kannst diesen Schritt überspringen und später laden.	Tras descargar, los idiomas elegidos funcionan sin internet. El audio queda en tu iPhone. Puedes omitir este paso y descargar después.	Après téléchargement, les langues choisies fonctionnent sans internet. L’audio reste sur votre iPhone. Vous pouvez passer cette étape et télécharger plus tard.	Latauksen jälkeen valitut kielet toimivat ilman internetiä. Ääni pysyy iPhonessasi. Voit ohittaa tämän ja ladata myöhemmin.
Dictation languages	Языки диктовки	Diktatsprachen	Idiomas de dictado	Langues de dictée	Sanelukielet
Add speech language	Добавить язык диктовки	Diktatsprache hinzufügen	Añadir idioma de dictado	Ajouter une langue de dictée	Lisää sanelukieli
Translation languages · optional	Языки перевода · необязательно	Übersetzungssprachen · optional	Idiomas de traducción · opcional	Langues de traduction · facultatif	Käännöskielet · valinnainen
Translate from	Переводить с	Übersetzen aus	Traducir de	Traduire depuis	Käännä kielestä
No downloadable OPUS translation pack is available for this source language yet.	Для этого исходного языка пока нет пакета перевода OPUS, доступного для скачивания.	Für diese Ausgangssprache ist noch kein OPUS-Übersetzungspaket zum Download verfügbar.	Aún no hay un paquete OPUS descargable para este idioma de origen.	Aucun pack OPUS téléchargeable n’est encore disponible pour cette langue source.	Tälle lähdekielelle ei ole vielä ladattavaa OPUS-käännöspakettia.
Add translation language	Добавить язык перевода	Übersetzungssprache hinzufügen	Añadir idioma de traducción	Ajouter une langue de traduction	Lisää käännöskieli
Downloaded	Скачано	Heruntergeladen	Descargado	Téléchargé	Ladattu
Prepare again	Подготовить повторно	Erneut vorbereiten	Preparar de nuevo	Préparer à nouveau	Valmistele uudelleen
Download & warm up	Скачать и прогреть	Laden und aufwärmen	Descargar y preparar	Télécharger et préchauffer	Lataa ja lämmitä
